"Leadmap information","Información de mapeo de fields"
"Doppler Field Name","Nombre de Field en Doppler"
"Magento Field Name","Nombre de Field en Magento"
"Leadmap","Mapeo de Fields"
"Delete","Eliminar"
"Are you sure?","¿Estás seguro?"
"List information","Nombre"
"Last Usage","Último Uso"
"Lists","Listas"
"List Name","Nombre de Lista"
"Subscribers information","Información de suscriptores"
"Subscribers","Suscriptores"
"Lead Mapping Manager","Administrador de Mapeo de Fields"
"Add Field","Nuevo Mapeo"
"Doppler Lists","Listas de Doppler"
"Doppler List","Lista de Doppler"
"Add List","Nueva Lista"
"Subscribers Manager","Administrador de Suscriptores"
"Add Subscribers","Agregar Suscriptores"
"The Doppler API is not currently available, please try later","La API de Doppler no se encuentra disponible en estos momentos, intente nuevamente más tarde"
"Mapping does not exist","El mapeo no existe"
"Leadmap deleted","Mapeo eliminado"
"Leadmap with id '%s' does not exist","El mapeo con ID '%s' no existe"
"There is already a Magento attribute associated with the following Doppler field: %s","Ya existe un atributo de Magento asociado con el siguiente field de Doppler: %s"
"Please select at least one record","Por favor seleccione al menos un registro"
"Total of %d record(s) have been deleted","Un total de %d registro(s) han sido eliminado(s)"
"The lists have been successfully synced","Las listas han sido exitosamente sincronizadas"
"The following errors occurred creating your list: %s","Los siguientes errores ocurrieron creando su lista: %s"
"List does not exist","La lista no existe"
"List %s does not exist","La lista %s no existe"
"List deleted","Lista eliminada"
"Saved","Guardado"
"Doppler API","API de Doppler"
"Magento Subscribers","Suscriptores de Magento"
"Doppler Lists","Listas de Doppler"
"Lead Mapping","Mapeo de Leads"
"API Connection","Conexión de la API"
"Username","Usuario"
"API key","API key"
"Connection successfully established","Conexión exitosamente establecida"
"Your credentials are not valid, please check your username and API key and try again","Sus credenciales no son válidas, por favor revise su usuario y su API key e intente nuevamente"
"Please, add your credentials above and save this page to test your API connection","Por favor, agregue sus credenciales y guarde esta página para comprobar la conexión de la API"
"Some error occurs. Please, retry type selection","Algunos errores ocurrieron. Por favor, intente nuevamente"
"Exported to Doppler","Exportado a Doppler"
"Creation Date","Fecha de Creación"
"Subscribers Count","Cantidad de Suscriptores"
"Name","Nombre"
"The list '%s' has been successfully removed","La lista '%s' ha sido exitosamente removida"
"The following errors occurred removing your list: ","Los siguientes errores ocurrieron eliminando su lista: "
"The list has been successfully created","La lista ha sido creada exitosamente"
"The changes have been saved","Los cambios han sido guardados"
"Export to Doppler","Exportar a Doppler"
"Set Default List","Elegir Lista por Defecto"
"Export customer to list","Exportar cliente a lista"
"Export Customer","Exportar Cliente"
"Mapping ID","ID del Mapeo"
"Export selected customers to the following Doppler list","Exportar clientes seleccionados a la siguiente lista de Doppler"
"Please select subscribers.","Por favor, seleccione suscriptores."
"%d customer(s) successfully subscribed to the selected list","%d clientes(s) exitosamente suscriptos a la lista seleccionada"
"Some errors ocurred when exporting %d customer(s)","Algunos errores ocurrieron exportando %d cliente(s)"
